student_name,email,registered_course,year,house,prefet
Luna Kim,luna.kim@poudlard.edu,botanique,1.0,Serdaigle,Help
Levi Patel,levi.patel@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Aria Flores,aria.flores@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Olivia Williams,olivia.williams@poudlard.edu,botanique,1.0,Serdaigle,Help
Madison Wright,madison.wright@poudlard.edu,potion,1.0,Serpentard,Hermione
Ava Jones,ava.jones@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Samuel Adams,samuel.adams@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Aiden Ortiz,aiden.ortiz@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Ava Jones,ava.jones@poudlard.edu,botanique,1.0,Serpentard,Hermione
Olivia Williams,olivia.williams@poudlard.edu,botanique,1.0,Serdaigle,Help
William Davis,william.davis@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Noah Misonal,noah.misonal@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Victoria Bailey,victoria.bailey@poudlard.edu,potion,1.0,Serpentard,Hermione
Aria Flores,aria.flores@poudlard.edu,botanique,1.0,Serpentard,Hermione
Mason Wilson,mason.wilson@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Emma Romalas,emma.romalas@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Ava Sarda,ava.sarda@poudlard.edu,sortilege,3.0,Gryffondor,Godrick
Levi Patel,levi.patel@poudlard.edu,potion,1.0,Gryffondor,Godrick
Aria Flores,aria.flores@poudlard.edu,potion,1.0,Serpentard,Hermione
Nicholas Ross,nicholas.ross@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Scarlett Torres,scarlett.torres@poudlard.edu,botanique,1.0,Serdaigle,Help
Madison Wright,madison.wright@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Owen Wood,owen.wood@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Aria Flores,aria.flores@poudlard.edu,botanique,1.0,Serpentard,Hermione
Nicholas Ross,nicholas.ross@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Ava Sarda,ava.sarda@poudlard.edu,sortilege,3.0,Gryffondor,Godrick
Chloe Reed,chloe.reed@poudlard.edu,potion,1.0,Serdaigle,Help
Noah Misonal,noah.misonal@poudlard.edu,botanique,1.0,Serpentard,Hermione
Caleb Howard,caleb.howard@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Isabella Moore,isabella.moore@poudlard.edu,potion,1.0,Serpentard,Hermione
Olivia Plea,olivia.plea@poudlard.edu,potion,2.0,Poufsouffle,Vrouminette
Noah Misonal,noah.misonal@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Emma Smith,emma.smith@poudlard.edu,botanique,3.0,Serpentard,Hermione
Caleb Howard,caleb.howard@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Samuel Adams,samuel.adams@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Grace Nelson,grace.nelson@poudlard.edu,potion,1.0,Serdaigle,Help
Liam Zune,liam.zune@poudlard.edu,sortilege,2.0,Serdaigle,Help
Caleb Howard,caleb.howard@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Emma Smith,emma.smith@poudlard.edu,botanique,3.0,Serpentard,Hermione
Sophia Miller,sophia.miller@poudlard.edu,potion,1.0,Serdaigle,Help
William Davis,william.davis@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Isabella Moore,isabella.moore@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Nicholas Ross,nicholas.ross@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Luna Kim,luna.kim@poudlard.edu,potion,1.0,Serdaigle,Help
Scarlett Torres,scarlett.torres@poudlard.edu,potion,1.0,Serdaigle,Help
Nicholas Ross,nicholas.ross@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Samuel Adams,samuel.adams@poudlard.edu,potion,1.0,Gryffondor,Godrick
Samuel Adams,samuel.adams@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Ava Sarda,ava.sarda@poudlard.edu,botanique,3.0,Gryffondor,Godrick
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Henry Rogers,henry.rogers@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
William Davis,william.davis@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Mason Wilson,mason.wilson@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Luna Kim,luna.kim@poudlard.edu,sortilege,1.0,Serdaigle,Help
Madison Wright,madison.wright@poudlard.edu,botanique,1.0,Serpentard,Hermione
Madison Wright,madison.wright@poudlard.edu,botanique,1.0,Serpentard,Hermione
Sophia Miller,sophia.miller@poudlard.edu,sortilege,1.0,Serdaigle,Help
Aiden Ortiz,aiden.ortiz@poudlard.edu,potion,1.0,Gryffondor,Godrick
Liam Zune,liam.zune@poudlard.edu,potion,2.0,Serdaigle,Help
Aria Flores,aria.flores@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Penelope Price,penelope.price@poudlard.edu,botanique,1.0,Serpentard,Hermione
Sebastian Cook,sebastian.cook@poudlard.edu,potion,1.0,Gryffondor,Godrick
Henry Rogers,henry.rogers@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Noah Johnson,noah.johnson@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Aria Flores,aria.flores@poudlard.edu,potion,1.0,Serpentard,Hermione
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Aiden Ortiz,aiden.ortiz@poudlard.edu,potion,1.0,Gryffondor,Godrick
Olivia Plea,olivia.plea@poudlard.edu,botanique,2.0,Poufsouffle,Vrouminette
Noah Misonal,noah.misonal@poudlard.edu,potion,1.0,Serpentard,Hermione
Mason Wilson,mason.wilson@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Luna Kim,luna.kim@poudlard.edu,sortilege,1.0,Serdaigle,Help
Liam Zune,liam.zune@poudlard.edu,botanique,2.0,Serdaigle,Help
Samuel Adams,samuel.adams@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Emma Romalas,emma.romalas@poudlard.edu,potion,1.0,Gryffondor,Godrick
Victoria Bailey,victoria.bailey@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Henry Rogers,henry.rogers@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Owen Wood,owen.wood@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Grace Nelson,grace.nelson@poudlard.edu,botanique,1.0,Serdaigle,Help
Emma Smith,emma.smith@poudlard.edu,sortilege,3.0,Serpentard,Hermione
Henry Rogers,henry.rogers@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Olivia Plea,olivia.plea@poudlard.edu,botanique,2.0,Poufsouffle,Vrouminette
Samuel Adams,samuel.adams@poudlard.edu,potion,1.0,Gryffondor,Godrick
Madison Wright,madison.wright@poudlard.edu,potion,1.0,Serpentard,Hermione
Samuel Adams,samuel.adams@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Scarlett Torres,scarlett.torres@poudlard.edu,botanique,1.0,Serdaigle,Help
Olivia Williams,olivia.williams@poudlard.edu,sortilege,1.0,Serdaigle,Help
Sebastian Cook,sebastian.cook@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
William Davis,william.davis@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Liam Brown,liam.brown@poudlard.edu,potion,1.0,Gryffondor,Godrick
Chloe Reed,chloe.reed@poudlard.edu,sortilege,1.0,Serdaigle,Help
Noah Johnson,noah.johnson@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Sophia Miller,sophia.miller@poudlard.edu,botanique,1.0,Serdaigle,Help
Chloe Reed,chloe.reed@poudlard.edu,potion,1.0,Serdaigle,Help
Emma Smith,emma.smith@poudlard.edu,botanique,3.0,Serpentard,Hermione
Luna Kim,luna.kim@poudlard.edu,botanique,1.0,Serdaigle,Help
Owen Wood,owen.wood@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Liam Zune,liam.zune@poudlard.edu,potion,2.0,Serdaigle,Help
Noah Misonal,noah.misonal@poudlard.edu,botanique,1.0,Serpentard,Hermione
Owen Wood,owen.wood@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Liam Brown,liam.brown@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Liam Zune,liam.zune@poudlard.edu,sortilege,2.0,Serdaigle,Help
Ava Sarda,ava.sarda@poudlard.edu,potion,3.0,Gryffondor,Godrick
Olivia Williams,olivia.williams@poudlard.edu,sortilege,1.0,Serdaigle,Help
Nicholas Ross,nicholas.ross@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Caleb Howard,caleb.howard@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Emma Romalas,emma.romalas@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Mason Wilson,mason.wilson@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Olivia Williams,olivia.williams@poudlard.edu,botanique,1.0,Serdaigle,Help
Isabella Moore,isabella.moore@poudlard.edu,potion,1.0,Serpentard,Hermione
Ava Sarda,ava.sarda@poudlard.edu,botanique,3.0,Gryffondor,Godrick
Olivia Williams,olivia.williams@poudlard.edu,sortilege,1.0,Serdaigle,Help
Owen Wood,owen.wood@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Samuel Adams,samuel.adams@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Noah Misonal,noah.misonal@poudlard.edu,potion,1.0,Serpentard,Hermione
Noah Johnson,noah.johnson@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Chloe Reed,chloe.reed@poudlard.edu,botanique,1.0,Serdaigle,Help
Aiden Ortiz,aiden.ortiz@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Aria Flores,aria.flores@poudlard.edu,botanique,1.0,Serpentard,Hermione
Nicholas Ross,nicholas.ross@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Nicholas Ross,nicholas.ross@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Noah Misonal,noah.misonal@poudlard.edu,potion,1.0,Serpentard,Hermione
Emma Romalas,emma.romalas@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Aiden Ortiz,aiden.ortiz@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Madison Wright,madison.wright@poudlard.edu,botanique,1.0,Serpentard,Hermione
Grace Nelson,grace.nelson@poudlard.edu,potion,1.0,Serdaigle,Help
Nicholas Ross,nicholas.ross@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Aiden Ortiz,aiden.ortiz@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Madison Wright,madison.wright@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Connor Gutierrez,connor.gutierrez@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Olivia Plea,olivia.plea@poudlard.edu,sortilege,2.0,Poufsouffle,Vrouminette
Sebastian Cook,sebastian.cook@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Levi Patel,levi.patel@poudlard.edu,potion,1.0,Gryffondor,Godrick
Madison Wright,madison.wright@poudlard.edu,potion,1.0,Serpentard,Hermione
William Davis,william.davis@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Sebastian Cook,sebastian.cook@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Noah Johnson,noah.johnson@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Owen Wood,owen.wood@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Olivia Plea,olivia.plea@poudlard.edu,sortilege,2.0,Poufsouffle,Vrouminette
Nicholas Ross,nicholas.ross@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Caleb Howard,caleb.howard@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Liam Zune,liam.zune@poudlard.edu,botanique,2.0,Serdaigle,Help
Emma Romalas,emma.romalas@poudlard.edu,potion,1.0,Gryffondor,Godrick
Olivia Williams,olivia.williams@poudlard.edu,botanique,1.0,Serdaigle,Help
Olivia Plea,olivia.plea@poudlard.edu,sortilege,2.0,Poufsouffle,Vrouminette
Scarlett Torres,scarlett.torres@poudlard.edu,sortilege,1.0,Serdaigle,Help
Noah Misonal,noah.misonal@poudlard.edu,potion,1.0,Serpentard,Hermione
Olivia Plea,olivia.plea@poudlard.edu,potion,2.0,Poufsouffle,Vrouminette
Liam Zune,liam.zune@poudlard.edu,botanique,2.0,Serdaigle,Help
William Davis,william.davis@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Olivia Plea,olivia.plea@poudlard.edu,botanique,2.0,Poufsouffle,Vrouminette
Sophia Miller,sophia.miller@poudlard.edu,sortilege,1.0,Serdaigle,Help
Ava Sarda,ava.sarda@poudlard.edu,sortilege,3.0,Gryffondor,Godrick
Liam Zune,liam.zune@poudlard.edu,sortilege,2.0,Serdaigle,Help
Nicholas Ross,nicholas.ross@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Madison Wright,madison.wright@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Liam Brown,liam.brown@poudlard.edu,potion,1.0,Gryffondor,Godrick
Olivia Williams,olivia.williams@poudlard.edu,botanique,1.0,Serdaigle,Help
Noah Johnson,noah.johnson@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Aiden Ortiz,aiden.ortiz@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Aria Flores,aria.flores@poudlard.edu,potion,1.0,Serpentard,Hermione
Noah Misonal,noah.misonal@poudlard.edu,botanique,1.0,Serpentard,Hermione
Chloe Reed,chloe.reed@poudlard.edu,sortilege,1.0,Serdaigle,Help
Liam Zune,liam.zune@poudlard.edu,sortilege,2.0,Serdaigle,Help
Olivia Plea,olivia.plea@poudlard.edu,potion,2.0,Poufsouffle,Vrouminette
Henry Rogers,henry.rogers@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Mason Wilson,mason.wilson@poudlard.edu,potion,1.0,Gryffondor,Godrick
Scarlett Torres,scarlett.torres@poudlard.edu,botanique,1.0,Serdaigle,Help
Victoria Bailey,victoria.bailey@poudlard.edu,botanique,1.0,Serpentard,Hermione
Sophia Miller,sophia.miller@poudlard.edu,sortilege,1.0,Serdaigle,Help
Victoria Bailey,victoria.bailey@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Ava Jones,ava.jones@poudlard.edu,botanique,1.0,Serpentard,Hermione
Emma Romalas,emma.romalas@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Levi Patel,levi.patel@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Emma Romalas,emma.romalas@poudlard.edu,potion,1.0,Gryffondor,Godrick
Noah Johnson,noah.johnson@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Levi Patel,levi.patel@poudlard.edu,botanique,1.0,Gryffondor,Godrick
William Davis,william.davis@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Emma Smith,emma.smith@poudlard.edu,botanique,3.0,Serpentard,Hermione
Liam Zune,liam.zune@poudlard.edu,sortilege,2.0,Serdaigle,Help
Penelope Price,penelope.price@poudlard.edu,potion,1.0,Serpentard,Hermione
Madison Wright,madison.wright@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Penelope Price,penelope.price@poudlard.edu,potion,1.0,Serpentard,Hermione
Aiden Ortiz,aiden.ortiz@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Grace Nelson,grace.nelson@poudlard.edu,botanique,1.0,Serdaigle,Help
Isabella Moore,isabella.moore@poudlard.edu,botanique,1.0,Serpentard,Hermione
Emma Romalas,emma.romalas@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Levi Patel,levi.patel@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Penelope Price,penelope.price@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Emma Romalas,emma.romalas@poudlard.edu,potion,1.0,Gryffondor,Godrick
Penelope Price,penelope.price@poudlard.edu,potion,1.0,Serpentard,Hermione
Liam Brown,liam.brown@poudlard.edu,potion,1.0,Gryffondor,Godrick
Victoria Bailey,victoria.bailey@poudlard.edu,botanique,1.0,Serpentard,Hermione
Nicholas Ross,nicholas.ross@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Emma Romalas,emma.romalas@poudlard.edu,potion,1.0,Gryffondor,Godrick
Luna Kim,luna.kim@poudlard.edu,botanique,1.0,Serdaigle,Help
Scarlett Torres,scarlett.torres@poudlard.edu,potion,1.0,Serdaigle,Help
Penelope Price,penelope.price@poudlard.edu,potion,1.0,Serpentard,Hermione
Emma Romalas,emma.romalas@poudlard.edu,potion,1.0,Gryffondor,Godrick
Liam Zune,liam.zune@poudlard.edu,botanique,2.0,Serdaigle,Help
Olivia Plea,olivia.plea@poudlard.edu,botanique,2.0,Poufsouffle,Vrouminette
Madison Wright,madison.wright@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Victoria Bailey,victoria.bailey@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Grace Nelson,grace.nelson@poudlard.edu,potion,1.0,Serdaigle,Help
Liam Brown,liam.brown@poudlard.edu,potion,1.0,Gryffondor,Godrick
Victoria Bailey,victoria.bailey@poudlard.edu,potion,1.0,Serpentard,Hermione
Olivia Plea,olivia.plea@poudlard.edu,botanique,2.0,Poufsouffle,Vrouminette
Caleb Howard,caleb.howard@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Isabella Moore,isabella.moore@poudlard.edu,potion,1.0,Serpentard,Hermione
Ava Jones,ava.jones@poudlard.edu,potion,1.0,Serpentard,Hermione
Grace Nelson,grace.nelson@poudlard.edu,botanique,1.0,Serdaigle,Help
Victoria Bailey,victoria.bailey@poudlard.edu,potion,1.0,Serpentard,Hermione
Ava Sarda,ava.sarda@poudlard.edu,botanique,3.0,Gryffondor,Godrick
Owen Wood,owen.wood@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Luna Kim,luna.kim@poudlard.edu,potion,1.0,Serdaigle,Help
Caleb Howard,caleb.howard@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Owen Wood,owen.wood@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Ava Jones,ava.jones@poudlard.edu,potion,1.0,Serpentard,Hermione
Madison Wright,madison.wright@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Sophia Miller,sophia.miller@poudlard.edu,botanique,1.0,Serdaigle,Help
William Davis,william.davis@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Luna Kim,luna.kim@poudlard.edu,potion,1.0,Serdaigle,Help
Noah Misonal,noah.misonal@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Penelope Price,penelope.price@poudlard.edu,potion,1.0,Serpentard,Hermione
Emma Smith,emma.smith@poudlard.edu,sortilege,3.0,Serpentard,Hermione
Emma Romalas,emma.romalas@poudlard.edu,potion,1.0,Gryffondor,Godrick
Liam Brown,liam.brown@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Emma Smith,emma.smith@poudlard.edu,sortilege,3.0,Serpentard,Hermione
Aiden Ortiz,aiden.ortiz@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Aiden Ortiz,aiden.ortiz@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Penelope Price,penelope.price@poudlard.edu,potion,1.0,Serpentard,Hermione
Connor Gutierrez,connor.gutierrez@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Ava Sarda,ava.sarda@poudlard.edu,sortilege,3.0,Gryffondor,Godrick
Owen Wood,owen.wood@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Levi Patel,levi.patel@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Noah Johnson,noah.johnson@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Sebastian Cook,sebastian.cook@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Connor Gutierrez,connor.gutierrez@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Emma Smith,emma.smith@poudlard.edu,botanique,3.0,Serpentard,Hermione
Chloe Reed,chloe.reed@poudlard.edu,sortilege,1.0,Serdaigle,Help
Liam Zune,liam.zune@poudlard.edu,sortilege,2.0,Serdaigle,Help
Henry Rogers,henry.rogers@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Connor Gutierrez,connor.gutierrez@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Grace Nelson,grace.nelson@poudlard.edu,sortilege,1.0,Serdaigle,Help
Sebastian Cook,sebastian.cook@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
William Davis,william.davis@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Connor Gutierrez,connor.gutierrez@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Grace Nelson,grace.nelson@poudlard.edu,potion,1.0,Serdaigle,Help
Olivia Plea,olivia.plea@poudlard.edu,botanique,2.0,Poufsouffle,Vrouminette
William Davis,william.davis@poudlard.edu,sortilege,1.0,Poufsouffle,Vrouminette
Noah Johnson,noah.johnson@poudlard.edu,potion,1.0,Poufsouffle,Vrouminette
Ava Jones,ava.jones@poudlard.edu,botanique,1.0,Serpentard,Hermione
Victoria Bailey,victoria.bailey@poudlard.edu,botanique,1.0,Serpentard,Hermione
Mason Wilson,mason.wilson@poudlard.edu,potion,1.0,Gryffondor,Godrick
Scarlett Torres,scarlett.torres@poudlard.edu,botanique,1.0,Serdaigle,Help
Aria Flores,aria.flores@poudlard.edu,potion,1.0,Serpentard,Hermione
Sophia Miller,sophia.miller@poudlard.edu,sortilege,1.0,Serdaigle,Help
Sebastian Cook,sebastian.cook@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Emma Smith,emma.smith@poudlard.edu,botanique,3.0,Serpentard,Hermione
Samuel Adams,samuel.adams@poudlard.edu,potion,1.0,Gryffondor,Godrick
Ava Sarda,ava.sarda@poudlard.edu,botanique,3.0,Gryffondor,Godrick
Olivia Plea,olivia.plea@poudlard.edu,sortilege,2.0,Poufsouffle,Vrouminette
Connor Gutierrez,connor.gutierrez@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Noah Misonal,noah.misonal@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Noah Misonal,noah.misonal@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Olivia Williams,olivia.williams@poudlard.edu,sortilege,1.0,Serdaigle,Help
Ava Jones,ava.jones@poudlard.edu,potion,1.0,Serpentard,Hermione
Emma Smith,emma.smith@poudlard.edu,sortilege,3.0,Serpentard,Hermione
Victoria Bailey,victoria.bailey@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Liam Zune,liam.zune@poudlard.edu,potion,2.0,Serdaigle,Help
Liam Brown,liam.brown@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Olivia Williams,olivia.williams@poudlard.edu,potion,1.0,Serdaigle,Help
Henry Rogers,henry.rogers@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Ava Jones,ava.jones@poudlard.edu,potion,1.0,Serpentard,Hermione
Victoria Bailey,victoria.bailey@poudlard.edu,potion,1.0,Serpentard,Hermione
Scarlett Torres,scarlett.torres@poudlard.edu,potion,1.0,Serdaigle,Help
Liam Zune,liam.zune@poudlard.edu,sortilege,2.0,Serdaigle,Help
Luna Kim,luna.kim@poudlard.edu,sortilege,1.0,Serdaigle,Help
Samuel Adams,samuel.adams@poudlard.edu,botanique,1.0,Gryffondor,Godrick
Emma Romalas,emma.romalas@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Olivia Plea,olivia.plea@poudlard.edu,botanique,2.0,Poufsouffle,Vrouminette
Connor Gutierrez,connor.gutierrez@poudlard.edu,botanique,1.0,Poufsouffle,Vrouminette
Emma Smith,emma.smith@poudlard.edu,sortilege,3.0,Serpentard,Hermione
Ava Sarda,ava.sarda@poudlard.edu,sortilege,3.0,Gryffondor,Godrick
Grace Nelson,grace.nelson@poudlard.edu,potion,1.0,Serdaigle,Help
Victoria Bailey,victoria.bailey@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Sophia Miller,sophia.miller@poudlard.edu,botanique,1.0,Serdaigle,Help
Ava Jones,ava.jones@poudlard.edu,potion,1.0,Serpentard,Hermione
Mason Wilson,mason.wilson@poudlard.edu,sortilege,1.0,Gryffondor,Godrick
Ava Jones,ava.jones@poudlard.edu,sortilege,1.0,Serpentard,Hermione
Olivia Plea,olivia.plea@poudlard.edu,sortilege,2.0,Poufsouffle,Vrouminette
Isabella Moore,isabella.moore@poudlard.edu,botanique,1.0,Serpentard,Hermione
Isabella Moore,isabella.moore@poudlard.edu,potion,1.0,Serpentard,Hermione
Grace Nelson,grace.nelson@poudlard.edu,sortilege,1.0,Serdaigle,Help
